,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cost of solid waste disposal (Nepalese rupee (NRS)),Cost of solid waste disposal (Nepalese rupee (NRS)),Cost of solid waste disposal (Nepalese rupee (NRS)),Cost of solid waste disposal (Nepalese rupee (NRS)),Cost of solid waste disposal (Nepalese rupee (NRS)),Cost of solid waste disposal (Nepalese rupee (NRS)),Cost of solid waste disposal (Nepalese rupee (NRS)),Cost of solid waste disposal (Nepalese rupee (NRS)),Cost of solid waste disposal (Nepalese rupee (NRS)),Cost of solid waste disposal (Nepalese rupee (NRS)),Cost of solid waste disposal (Nepalese rupee (NRS))
Nepal,310109,359651,359062,460423,560996,920288,1117090,4891699,1984653,1408337,2005870
Source(Cost of solid waste disposal),National Planning Commission (2019). Environment Statistics of Nepal 2019. Kathmandu; Central Bureau of Statistics.
Unit(Cost of solid waste disposal),Nepalese rupee (NRS)
